userid,fname,lname,uname,funds,password,status,admin
0,Bruce,Bigman,big_boss,400,6c9a0301e031e6fdd1715894dbddf918,1,1
1,Tim,Heidecker,grum,878,35F6A83A5BA621356BEEE357DB022E6C,0,0
2,Eric,Wareheim,pristimi,7749,38CC20041EAA6E03C92C0A7D17B21B9A,1,0
3,Anne,McAnne,AM34,9915,7640A28364D51541DFA1C6AD36E90EB3,1,0
4,Johnny,Rock,Ishot_JR,244,2ECECD0E63E498B6F7514044265F451C,1,0
5,Pam,Gerwig,pez,994,78000D894EB9F42A88AC2A14B2D783A5,1,0
6,"Billy ",Bob,spaceman,44574,B4F411358C4A80E69F64CAB04E5A7E53,1,0
7,Amy,Trevaskis,killeraimz,0,4528E6A7BB9341C36C425FAF40EF32C3,1,1
8,Vault,Boy,Vault101,0,68B329DA9893E34099C7D8AD5CB9C940,0,0
10,Samus,Aran,mSlayer,150,brain,0,0
11,Elizabeth,Dewitt,infinite_babe,0,columbia,0,0
12,Sally,Shepard,N7,650,geth,1,0
13,Issac,Clarke,smash,50,passw,1,0
14,Alison,Dubois,mediuam,100,passw,1,0
15,Jeanie,Beuller,dayz,100,iahtemybro,1,0
16,Martin,Brundle,flyman86,100,killmeplease,1,0
17,Maxim,Romanov,maxy_boy,100,iamacat,1,0
18,Annie,Wilkes,misery_fan,100,paul,1,0
19,Arial,Atalntis,mer_babe,115,sebastion,1,0
20,Sammy,"Davis jr",showman,148,hello,1,0
21,Hughie,McQueen,super_boy,480,blue,1,0
22,Eliza,Dolittle,fair_lady66,100,hennyhiggins,1,0
23,Edward,"Van Halen",VH3,100,sammysucks,1,0
24,Bobby,Droptable,xckd,100,Robertdsrop,1,0
25,Geogire,Flipo,"G Flip",145,stupid,1,0
26,Andrew,Ryan,objec_tiv,70,rapture,1,0
28,Emma,Stone,Fav,100,thefaveroute,1,0
29,Francis,Wray,sad_girl23,100,ikilledhim,1,0
30,Harold,Harold,I_am_Harold,100,idontcare,1,0
31,Jackson,Maine,rockStr,100,tellmesomethingirl,1,0
32,"Ulyashin ","Maksim Antonovich",Max_Man,100,vodkaisgreat,1,0
33,Monty,Foster,aussie_man,500,clientliason,1,0
35,shady,guy,imposter,100,pass,1,1
36,,,,85,,1,0
37,Amy,Test,amz,78,mypass,1,0
